prime,A,x0,trials
257,27,209,3
257,30,34,1
257,4,144,2
257,15,137,2
257,27,121,6
257,10,57,5
257,123,211,4
257,80,203,5
257,223,36,4
257,199,55,10
257,1,70,7
257,123,134,4
257,17,187,12
257,123,168,8
257,1,121,2
257,18,27,2
257,172,217,1
257,30,58,4
257,80,131,2
257,239,230,1
257,138,60,5
257,6,217,3
257,172,148,2
257,256,32,1
257,181,112,6
257,30,21,1
257,127,199,5
257,80,154,2
257,138,168,4
257,256,122,18
257,181,54,2
257,122,88,10
257,34,122,2
257,15,134,2
257,253,113,8
257,30,143,4
257,58,179,4
257,168,250,15
257,243,221,4
257,244,4,6
257,58,202,8
257,23,25,1
257,76,138,1
257,23,60,2
257,36,177,6
257,244,99,6
257,256,136,27
257,223,8,1
257,85,115,14
257,6,105,2
293,3,284,11
293,210,267,25
293,102,174,4
293,117,181,9
293,13,18,1
293,13,75,1
293,176,176,2
293,47,216,2
293,264,146,4
293,59,45,5
293,198,112,1
293,96,174,16
293,96,230,2
293,94,267,9
293,141,273,8
293,152,182,2
293,289,129,1
293,152,19,2
293,207,41,11
293,267,194,8
293,265,119,6
293,40,200,4
293,191,168,5
293,102,263,3
293,97,249,21
293,174,214,2
293,152,227,4
293,81,16,3
293,176,182,3
293,83,124,4
293,198,48,14
293,191,42,5
293,65,280,3
293,47,258,7
293,245,80,8
293,65,243,1
293,275,284,12
293,246,205,10
293,3,189,1
293,65,218,11
293,3,15,19
293,289,79,3
293,26,28,3
293,13,128,18
293,29,70,3
293,210,269,4
293,253,217,4
293,59,108,25
293,26,157,2
293,275,4,6
353,20,336,5
353,148,120,5
353,303,296,15
353,119,51,4
353,258,131,6
353,119,192,2
353,276,104,12
353,216,214,4
353,18,79,4
353,317,306,3
353,134,155,9
353,18,220,11
353,137,190,6
353,184,115,2
353,3,249,16
353,297,344,3
353,66,138,3
353,209,294,5
353,110,111,6
353,123,323,6
353,95,25,7
353,66,90,4
353,350,53,4
353,66,193,1
353,160,125,3
353,173,121,4
353,20,223,4
353,316,247,11
353,14,154,12
353,173,46,16
353,276,338,28
353,95,194,3
353,339,163,14
353,320,226,4
353,320,189,7
353,160,245,2
353,205,283,17
353,297,255,4
353,99,169,13
353,86,95,1
353,148,70,2
353,329,127,4
353,119,57,1
353,44,127,2
353,160,305,3
353,209,126,2
353,134,307,3
353,317,22,2
353,230,109,8
353,193,151,12
509,132,494,2
509,285,469,3
509,447,184,8
509,88,269,13
509,453,132,5
509,214,450,2
509,32,180,1
509,81,207,7
509,197,272,6
509,103,190,16
509,56,375,21
509,197,320,8
509,129,205,1
509,107,503,9
509,453,134,3
509,502,329,6
509,3,470,10
509,107,314,2
509,471,83,3
509,46,408,4
509,506,248,7
509,380,422,2
509,38,14,7
509,7,223,5
509,131,392,10
509,107,424,2
509,56,240,7
509,38,400,7
509,129,431,7
509,226,36,1
509,450,14,4
509,56,197,6
509,269,344,7
509,447,301,3
509,280,483,3
509,202,88,6
509,32,94,6
509,396,363,3
509,46,383,4
509,87,16,2
509,7,465,22
509,406,158,1
509,484,478,1
509,109,312,11
509,98,258,5
509,428,294,2
509,131,87,3
509,428,116,8
509,145,306,6
509,202,297,5
523,356,389,12
523,235,244,9
523,214,424,2
523,351,225,2
523,41,421,2
523,308,72,2
523,447,111,6
523,125,125,3
523,87,396,4
523,513,175,2
523,518,279,9
523,224,235,4
523,348,70,4
523,482,280,1
523,448,4,9
523,288,169,1
523,75,406,2
523,69,208,11
523,110,461,1
523,87,473,12
523,446,240,3
523,110,202,2
523,10,348,11
523,473,513,2
523,385,120,2
523,90,379,2
523,119,73,1
523,446,296,7
523,131,315,3
523,446,235,2
523,518,70,5
523,448,440,6
523,385,84,3
523,77,146,5
523,518,166,4
523,4,442,6
523,359,192,9
523,64,120,19
523,207,123,2
523,167,466,7
523,398,400,7
523,519,133,2
523,495,250,5
523,465,247,2
523,167,367,1
523,77,283,6
523,138,202,3
523,207,506,5
523,316,400,17
523,513,263,5
557,43,496,4
557,433,458,31
557,297,152,40
557,516,540,15
557,205,526,3
557,7,421,6
557,147,176,6
557,147,266,4
557,352,310,24
557,70,485,6
557,235,306,6
557,35,57,9
557,41,453,21
557,187,140,5
557,514,151,14
557,266,209,4
557,260,221,6
557,43,164,11
557,147,449,10
557,179,420,5
557,187,209,20
557,85,324,13
557,239,103,4
557,286,318,1
557,322,423,3
557,522,219,29
557,535,187,51
557,7,77,6
557,69,255,2
557,515,293,6
557,179,71,21
557,448,161,28
557,70,423,3
557,318,275,3
557,239,537,9
557,409,195,26
557,352,534,24
557,433,45,2
557,35,440,5
557,414,364,5
557,522,210,3
557,297,110,2
557,472,109,12
557,35,145,3
557,69,133,2
557,41,413,1
557,124,512,1
557,552,66,6
557,516,252,13
557,260,405,10
587,437,81,3
587,322,532,2
587,247,488,1
587,204,254,31
587,435,294,4
587,119,556,5
587,62,70,15
587,308,189,7
587,73,137,1
587,494,20,3
587,446,363,21
587,277,240,46
587,494,410,12
587,468,510,31
587,340,337,2
587,412,118,14
587,26,582,16
587,152,374,11
587,340,60,9
587,202,509,15
587,561,216,1
587,377,126,4
587,383,364,50
