prime,target_n,total_trials,p_exact,p_hat,relative_error_percent
137,50,297,0.1605839416058394,0.16835016835016836,4.8362
149,50,363,0.1610738255033557,0.13774104683195593,14.4858
173,50,291,0.1734104046242774,0.1718213058419244,0.9164
179,50,153,0.3910614525139664,0.32679738562091504,16.4332
227,50,365,0.1409691629955947,0.136986301369863,2.8253
271,50,270,0.1992619926199262,0.18518518518518517,7.0645
443,50,154,0.2753950338600451,0.3246753246753247,17.8944
487,50,250,0.1232032854209445,0.2,62.3333
677,50,729,0.0738552437223042,0.06858710562414266,7.1331
773,50,215,0.2018111254851229,0.23255813953488372,15.2355
1433,50,974,0.0586182833217027,0.0513347022587269,12.4254
1709,50,702,0.0725570509069631,0.07122507122507123,1.8358
1861,50,426,0.1182160128962923,0.11737089201877934,0.7149
2711,50,1062,0.034673552194762,0.047080979284369114,35.7835
3527,50,689,0.0669123901332577,0.07256894049346879,8.4537
4003,50,1179,0.0459655258556082,0.04240882103477523,7.7378
7477,50,2976,0.0219339307208773,0.016801075268817203,23.4014
7499,50,1197,0.0376050140018669,0.04177109440267335,11.0785
9041,50,1061,0.0369428160601703,0.0471253534401508,27.563
9547,50,1101,0.0542578820571907,0.045413260672116255,16.3011
19793,50,1978,0.023038447936139,0.025278058645096056,9.7212
20753,50,1878,0.0219727268346745,0.026624068157614485,21.1687
35251,50,1850,0.0231482794814331,0.02702702702702703,16.7561
38333,50,1874,0.0208175723267158,0.026680896478121666,28.1653
41131,50,1302,0.0346210887165398,0.03840245775729647,10.9222
43201,50,2026,0.0259253258026434,0.024679170779861797,4.8067
43541,50,2658,0.017638547575848,0.018811136192626036,6.6479
52837,50,4681,0.0116584968866513,0.010681478316599017,8.3803
54419,50,4269,0.0119811095389477,0.011712344811431248,2.2432
55987,50,2018,0.0202904245628449,0.024777006937561942,22.1118
