257,27,209
257,30,34
257,4,144
257,15,137
257,10,57
257,27,121
257,123,211
257,199,55
257,80,203
257,223,36
257,1,70
257,80,131
257,138,60
257,17,187
257,30,21
257,127,199
257,30,58
257,80,154
257,1,121
257,18,27
257,123,168
257,172,217
257,239,230
257,6,217
257,172,148
257,256,32
257,181,112
257,181,54
257,256,122
257,122,88
257,34,122
257,15,134
257,168,250
257,253,113
257,30,143
257,243,221
257,244,4
257,23,60
257,244,99
257,36,177
257,138,168
257,138,140
257,168,80
257,242,122
257,85,115
257,6,105
257,177,126
257,122,137
257,18,91
257,254,194
257,135,241
257,85,63
257,36,74
257,23,245
257,221,183
257,10,2
257,243,169
257,134,17
257,80,138
257,1,17
257,172,155
257,253,173
257,13,26
257,17,35
257,223,135
257,58,202
257,23,25
257,76,138
257,14,60
257,126,120
257,123,134
257,256,136
257,138,169
257,223,34
257,3,161
257,58,179
257,23,107
257,221,107
257,240,144
257,172,33
257,76,226
257,13,165
257,256,240
257,223,8
257,122,242
257,221,80
257,123,231
257,130,18
257,168,233
257,4,84
257,135,120
257,13,235
257,89,102
257,15,99
257,138,198
257,243,73
257,199,201
257,234,227
257,17,11
257,34,213
293,198,112
293,59,45
293,47,216
293,264,146
293,176,176
293,152,182
293,94,267
293,152,19
293,191,168
293,96,230
293,3,284
293,117,181
293,13,18
293,13,75
293,210,267
293,40,200
293,280,282
293,198,48
293,96,174
293,191,42
293,65,280
293,246,77
293,267,194
293,289,129
293,83,124
293,65,243
293,289,79
293,246,205
293,3,189
293,65,218
293,207,41
293,102,263
293,265,119
293,47,258
293,280,218
293,97,249
293,174,214
293,26,28
293,13,128
293,29,70
293,245,80
293,275,4
293,65,125
293,29,180
293,26,157
293,96,242
293,199,255
293,141,111
293,280,165
293,26,207
293,152,227
293,81,16
293,176,182
293,245,195
293,26,8
293,3,254
293,13,168
293,47,156
293,275,284
293,48,282
293,59,108
293,102,286
293,246,268
293,198,18
293,102,251
293,81,289
293,119,52
293,246,67
293,152,108
293,13,190
293,3,15
293,253,217
293,290,278
293,280,125
293,246,283
293,253,230
293,210,269
293,191,112
293,48,213
293,207,122
293,265,79
293,290,9
293,234,28
293,176,259
293,95,275
293,253,215
293,196,44
293,191,231
293,197,261
293,29,147
293,95,245
293,94,196
293,265,147
293,228,168
293,197,63
293,280,179
293,94,54
293,198,114
293,65,251
293,212,4
353,20,336
353,148,120
353,258,131
353,303,296
353,119,192
353,119,51
353,276,104
353,317,306
353,18,79
353,216,214
353,134,155
353,18,220
353,184,115
353,20,223
353,137,190
353,3,249
353,50,295
353,209,294
353,66,138
353,123,323
353,110,111
353,66,90
353,160,125
353,350,53
353,66,193
353,77,93
353,329,29
353,173,121
353,184,180
353,316,247
353,293,306
353,14,154
353,173,46
353,297,344
353,95,181
353,276,338
353,95,194
353,339,163
353,320,226
353,95,25
353,110,324
353,160,245
353,320,189
353,169,151
353,297,255
353,258,159
353,316,251
353,329,127
353,148,70
353,317,22
353,44,127
353,160,305
353,287,37
353,254,271
353,230,109
353,193,151
353,350,20
353,95,111
353,219,46
353,60,280
353,276,148
353,64,26
353,316,325
353,219,330
353,160,248
353,168,41
353,258,240
353,219,198
353,77,301
353,33,68
353,173,94
353,335,274
353,303,126
353,350,151
353,148,303
353,18,286
353,14,340
353,173,49
353,44,73
353,173,330
353,160,202
353,50,316
353,169,282
353,169,75
353,44,324
353,64,109
353,134,23
353,276,52
353,258,242
353,303,136
353,219,159
353,86,183
353,99,82
353,297,237
353,303,287
353,254,181
353,37,151
353,193,108
353,234,192
353,329,152
509,447,184
509,132,494
509,88,269
509,285,469
509,214,450
509,32,180
509,131,87
509,81,207
509,145,306
509,380,422
509,453,132
509,197,272
509,56,375
509,129,205
509,453,134
509,129,431
509,197,320
509,202,88
509,3,470
509,103,190
509,471,83
509,506,248
509,98,258
509,7,223
509,428,294
509,131,392
509,32,442
509,226,36
509,107,503
509,56,197
509,147,220
509,396,363
509,46,408
509,502,44
509,238,160
509,7,465
509,502,329
509,81,82
509,46,383
509,484,478
509,109,312
509,361,3
509,107,314
509,428,116
509,7,322
509,38,14
509,202,297
509,125,45
509,491,342
509,463,284
509,307,366
509,147,118
509,98,144
509,400,397
509,107,424
509,131,98
509,40,321
509,377,203
509,384,464
509,38,400
509,428,180
509,411,174
509,411,418
509,113,334
509,450,14
509,145,69
509,62,88
509,269,344
509,477,67
509,447,301
509,280,483
509,132,366
509,32,94
509,81,329
509,256,209
509,226,239
509,83,333
509,256,301
509,107,169
509,471,109
509,396,88
509,280,11
509,269,124
509,402,256
509,46,225
509,406,158
509,56,240
509,214,370
509,396,255
509,262,469
509,263,198
509,87,16
509,240,246
509,168,453
509,422,441
509,201,459
509,415,424
509,240,327
509,125,313
509,493,48
523,356,389
523,214,424
523,41,421
523,308,72
523,235,244
523,125,125
523,351,225
523,348,70
523,482,280
523,518,279
523,224,235
523,447,111
523,288,169
523,87,396
523,513,175
523,473,513
523,69,208
523,110,461
523,446,240
523,110,202
523,10,348
523,385,120
523,90,379
523,119,73
523,448,4
523,75,406
523,207,506
523,518,70
523,385,84
523,77,146
523,518,166
523,4,442
523,447,261
523,495,158
523,513,263
523,87,473
523,64,120
523,167,466
523,244,346
523,119,454
523,398,400
523,519,133
523,406,394
523,77,283
523,138,202
523,131,315
523,446,235
523,446,296
523,351,164
523,448,440
523,513,209
523,207,244
523,100,358
523,482,102
523,359,192
523,465,42
523,385,452
523,495,341
523,365,446
523,398,364
523,448,339
523,392,290
523,207,123
523,28,266
523,495,250
523,465,247
523,167,367
523,518,396
523,513,518
523,484,294
523,495,69
523,413,189
523,288,294
523,365,316
523,64,239
523,482,43
523,316,400
523,110,223
523,446,119
523,138,521
523,392,435
523,253,470
523,175,373
523,100,198
523,4,450
523,110,36
523,482,73
523,413,300
523,495,165
523,50,263
523,374,345
523,482,468
523,359,200
523,513,450
523,50,10
523,75,409
523,76,75
523,64,192
523,167,121
523,131,211
557,43,496
557,433,458
557,147,176
557,205,526
557,70,485
557,147,266
557,297,152
557,516,540
557,147,164
557,7,421
557,409,195
557,514,151
557,260,221
557,433,45
557,222,405
557,187,209
557,352,310
557,522,219
557,516,252
557,187,140
557,124,462
557,143,459
557,7,77
557,69,255
557,515,293
557,23,259
557,70,85
557,70,423
557,318,275
557,535,530
557,522,500
557,179,420
557,335,50
557,7,405
557,352,534
557,35,440
557,297,110
557,522,210
557,472,109
557,35,145
557,69,133
557,124,512
557,286,215
557,239,103
557,286,318
557,322,423
557,322,320
557,535,61
557,222,249
557,515,221
557,222,30
557,409,279
557,516,157
557,179,65
557,35,57
557,322,358
557,41,453
557,271,282
557,433,162
557,378,436
557,43,164
557,370,525
557,124,536
557,515,380
557,297,11
557,179,71
557,148,32
557,124,224
557,297,356
557,522,342
557,23,536
557,352,549
557,85,324
557,433,358
557,179,121
557,42,243
557,378,476
557,147,377
557,187,344
557,124,99
557,143,348
557,534,200
557,522,543
557,514,148
557,22,465
557,322,23
557,271,500
557,41,413
557,455,451
557,448,429
557,69,10
557,488,22
557,297,310
557,23,520
557,23,117
557,448,161
557,378,309
557,239,537
557,472,205
557,515,365
587,437,81
587,247,488
587,322,532
587,435,294
587,204,254
587,494,20
587,62,70
587,73,137
587,308,189
587,119,556
587,561,216
587,494,410
587,468,510
587,446,363
587,26,582
587,202,509
587,340,60
587,277,240
587,383,364
587,277,106
587,265,555
587,340,337
587,412,118
587,120,564
587,26,267
587,561,512
587,525,521
587,276,87
587,308,100
587,62,21
587,244,287
587,265,222
587,232,330
587,152,374
587,210,175
587,267,275
587,546,579
587,311,560
587,277,524
587,377,126
587,152,293
587,175,93
587,355,101
587,265,456
587,71,209
587,62,312
587,516,565
587,525,418
587,340,99
587,210,48
587,377,428
587,355,426
587,250,400
587,385,314
587,355,574
587,250,88
587,276,27
587,141,468
587,277,183
587,308,452
587,26,142
587,41,221
587,546,204
587,297,243
587,265,518
587,525,566
587,437,300
587,435,536
587,343,129
587,452,523
587,320,531
587,437,581
587,468,345
587,73,252
587,204,495
587,514,91
587,311,538
587,250,129
587,377,369
587,310,220
587,546,189
587,210,516
587,26,525
587,26,349
587,561,94
587,290,377
587,446,356
587,322,354
587,41,446
587,343,253
587,175,552
587,150,45
587,279,500
587,71,555
587,26,75
587,152,572
587,446,74
587,150,20
587,210,279
587,446,29
613,274,39
613,352,37
613,216,109
613,267,495
613,224,379
613,562,259
613,306,594
613,65,24
613,398,27
613,346,586
613,194,211
613,346,213
613,293,59
613,390,428
613,548,56
613,21,293
613,467,339
613,34,38
613,491,410
613,267,55
613,397,504
613,208,517
613,521,133
613,92,453
613,72,518
613,55,53
613,460,101
613,208,481
613,194,344
613,460,338
613,410,64
613,216,445
613,541,437
613,508,244
613,248,131
613,419,358
613,34,364
613,65,368
613,508,507
613,72,205
613,548,332
613,405,394
613,55,607
613,548,245
613,51,495
613,153,238
613,562,526
613,278,221
613,77,282
613,504,437
613,548,269
613,365,417
613,293,598
613,339,511
613,508,556
613,223,575
613,398,349
613,410,277
613,55,371
613,293,582
613,55,527
613,536,303
613,77,50
613,568,519
613,55,102
613,548,208
613,508,601
613,51,16
613,55,335
613,278,574
613,504,311
613,365,119
613,604,228
613,55,325
613,339,296
613,306,71
613,579,575
613,558,142
613,224,596
613,335,515
613,208,125
613,365,170
613,549,209
613,307,146
613,92,588
613,536,193
613,146,134
613,153,96
613,21,236
613,491,181
613,122,597
613,390,560
613,215,458
613,224,48
613,604,71
613,216,150
613,43,46
613,278,98
613,521,169
613,77,310
683,530,295
683,125,222
683,39,93
683,185,25
683,125,40
683,45,194
683,209,237
683,392,575
683,674,481
683,674,90
683,54,221
683,371,312
683,291,52
683,265,251
683,612,652
683,517,295
683,372,296
683,558,194
683,371,26
683,644,339
683,23,242
683,265,354
683,9,545
683,528,77
683,220,510
683,392,98
683,47,110
683,629,422
683,153,584
683,92,94
683,72,244
683,463,332
683,220,379
683,291,644
683,312,157
683,498,33
683,463,82
683,392,449
683,443,140
683,153,251
683,427,434
683,471,259
683,153,274
683,418,672
683,311,460
683,265,602
683,668,248
683,287,35
683,220,597
683,644,649
683,155,608
683,71,550
683,79,88
683,568,217
683,92,676
683,591,181
683,611,459
683,256,177
683,528,559
683,636,538
683,73,427
683,636,416
683,39,365
683,663,411
683,209,595
683,604,392
683,498,515
683,72,477
683,611,439
683,153,172
683,660,214
683,23,496
683,376,154
683,528,360
683,663,35
683,530,69
683,386,21
683,155,616
