prime,A,x0,trials
179,111,30,2
179,43,55,3
179,75,121,5
179,113,12,1
179,120,98,6
179,139,177,14
179,114,4,6
179,175,5,1
179,138,157,1
179,68,173,3
179,87,87,1
179,132,63,3
179,116,106,2
179,170,81,4
179,94,34,2
179,104,58,5
179,59,4,2
179,9,132,3
179,59,144,1
179,10,48,2
179,47,101,1
179,78,145,2
179,7,172,1
179,68,67,3
179,120,35,2
179,80,166,1
179,93,64,2
179,66,71,1
179,111,55,2
179,75,3,1
179,139,158,4
179,8,2,2
179,116,121,3
179,12,65,3
179,78,156,5
179,80,55,4
179,142,39,1
179,34,100,4
179,63,103,2
179,9,143,2
179,52,136,2
179,125,140,3
179,13,176,7
179,136,31,1
179,37,78,2
179,113,167,3
179,172,129,5
179,139,39,10
179,43,131,1
179,101,61,2
179,63,73,1
179,80,109,2
227,220,140,2
227,159,146,1
227,8,123,3
227,220,106,14
227,189,150,14
227,202,220,2
227,60,210,20
227,96,21,8
227,60,109,7
227,20,175,1
227,220,149,4
227,153,192,2
227,167,118,2
227,159,194,1
227,38,195,14
227,60,25,1
227,7,212,14
227,180,21,13
227,129,89,2
227,208,5,2
227,96,134,6
227,131,145,8
227,219,29,17
227,19,29,10
227,48,97,3
227,153,214,12
227,8,200,9
227,7,195,1
227,159,14,14
227,20,167,1
227,131,111,11
227,208,91,10
227,179,150,13
227,19,76,8
227,208,105,4
227,189,200,4
227,17,114,12
227,202,17,6
227,129,25,1
227,210,103,3
227,208,198,2
227,167,202,24
227,60,89,5
227,202,201,22
227,96,64,11
227,129,213,29
227,180,7,2
227,47,220,5
227,108,92,1
227,48,77,5
227,179,130,3
227,7,167,4
227,108,190,15
227,7,121,33
227,180,40,11
227,60,53,5
227,129,57,21
227,187,186,1
227,96,176,1
227,119,191,17
227,207,60,3
227,40,41,7
227,202,96,9
227,108,169,27
227,202,72,1
227,119,37,12
227,131,41,7
227,108,36,13
227,19,47,10
227,219,112,1
227,68,172,7
227,96,70,15
227,74,56,1
227,48,44,3
227,60,40,7
227,60,176,16
227,220,15,25
227,189,149,5
227,179,117,2
227,38,121,2
227,189,56,5
227,159,174,6
227,189,106,7
227,129,4,19
227,68,30,1
227,220,14,2
227,210,11,15
227,17,216,22
227,40,126,4
227,38,185,1
227,179,114,1
227,17,39,1
227,48,4,6
227,38,77,9
227,167,187,9
227,7,87,4
227,98,138,3
227,207,52,1
227,129,109,2
227,38,78,1
271,139,119,5
271,12,150,3
271,246,139,7
271,205,267,7
271,51,26,2
271,203,231,12
271,75,235,4
271,75,267,6
271,112,239,3
271,107,154,2
271,70,30,3
271,246,244,10
271,209,157,8
271,109,63,1
271,97,84,3
271,147,182,4
271,159,32,2
271,250,84,2
271,77,98,2
271,215,162,3
271,117,210,4
271,117,254,1
271,109,245,6
271,226,27,23
271,132,101,13
271,196,36,7
271,246,39,5
271,73,137,8
271,199,101,3
271,196,106,14
271,20,78,3
271,139,110,5
271,21,128,2
271,250,21,2
271,112,115,2
271,25,263,6
271,51,29,3
271,75,143,17
271,20,88,2
271,33,92,3
271,97,43,2
271,220,166,9
271,154,70,1
271,21,250,2
271,25,232,1
271,246,167,1
271,199,51,1
271,203,207,2
271,205,234,8
271,223,218,18
271,198,268,4
271,209,186,2
271,109,224,2
271,259,189,3
271,203,210,3
271,196,265,9
271,109,169,13
271,75,165,1
271,124,241,1
271,103,39,4
271,124,14,5
271,103,170,2
271,159,114,7
271,72,110,7
271,109,177,4
271,226,137,6
271,193,120,2
271,246,10,9
271,132,29,2
271,12,166,2
271,97,171,5
271,147,58,7
271,115,127,11
271,77,140,6
271,132,197,1
271,246,34,7
271,103,98,10
271,56,264,1
271,97,51,1
271,246,236,1
271,109,163,16
271,56,65,2
271,62,57,3
271,159,77,3
271,174,45,9
271,220,177,3
271,194,227,1
271,75,6,2
271,168,101,7
271,199,186,4
271,72,248,4
271,103,148,3
271,147,262,9
271,45,119,3
271,97,91,3
271,196,112,3
271,196,124,3
271,12,63,13
271,201,70,5
271,73,181,16
443,103,331,4
443,138,51,2
443,408,198,1
443,213,128,4
443,298,281,1
443,160,257,7
443,370,418,1
443,9,74,4
443,282,81,2
443,7,253,2
443,160,63,2
443,37,135,2
443,82,265,1
443,7,436,2
443,59,214,3
443,305,304,9
443,186,46,6
443,20,123,1
443,306,147,2
443,298,315,2
443,11,186,2
443,158,215,1
443,365,177,1
443,160,212,3
443,73,253,1
443,344,373,3
443,202,415,1
443,28,56,5
443,124,405,1
443,306,197,4
443,289,239,1
443,167,356,2
443,406,406,6
443,11,309,7
443,96,313,7
443,408,311,4
443,152,262,5
443,98,234,1
443,152,212,5
443,8,355,2
443,337,77,1
443,49,403,4
443,131,144,2
443,252,420,2
443,344,244,4
443,80,36,7
443,431,72,2
443,305,392,5
443,53,359,12
443,230,3,1
443,271,80,2
443,230,428,10
443,20,389,1
443,186,32,4
443,154,186,1
443,399,129,11
443,112,88,5
443,368,337,8
443,127,57,2
443,167,333,2
443,345,209,3
443,189,261,5
443,305,343,4
443,213,384,4
443,230,59,1
443,164,18,5
443,252,360,2
443,230,66,4
443,271,276,1
443,248,70,3
443,15,117,2
443,312,112,1
443,384,325,2
443,398,177,1
443,202,170,3
443,127,275,8
443,271,116,3
443,98,135,3
443,434,339,3
443,423,54,1
443,423,223,1
443,9,343,7
443,285,146,4
443,254,182,2
443,137,135,4
443,179,263,4
443,435,314,1
443,103,351,5
443,112,137,9
443,431,92,9
443,301,307,3
443,82,49,2
443,129,10,2
443,415,87,4
443,367,388,12
443,283,186,1
443,103,108,4
443,175,250,4
443,262,51,3
443,103,367,6
487,22,199,5
487,285,136,1
487,228,186,2
487,283,260,11
487,293,77,1
487,58,90,5
487,58,3,14
487,354,84,4
487,470,426,5
487,23,430,4
487,259,322,6
487,49,355,6
487,376,336,6
487,70,195,2
487,58,267,4
487,372,454,3
487,23,91,10
487,372,483,4
487,268,211,14
487,338,312,2
487,292,296,4
487,412,164,1
487,47,386,2
487,36,305,1
487,111,485,6
487,90,147,5
487,440,479,6
487,135,389,1
487,268,296,1
487,157,410,2
487,96,186,8
487,299,307,8
487,441,329,4
487,192,479,6
487,147,388,4
487,448,104,13
487,138,194,2
487,68,230,6
487,226,87,1
487,155,419,12
487,345,424,1
487,149,330,2
487,192,426,1
487,369,384,2
487,47,373,5
487,407,167,8
487,167,10,1
487,283,284,7
487,376,127,1
487,226,47,1
487,359,96,1
487,113,173,13
487,90,407,2
487,302,43,4
487,111,360,4
487,360,70,8
487,330,154,1
487,354,382,1
487,459,11,6
487,39,170,2
487,198,431,11
487,391,369,2
487,219,276,8
487,46,24,4
487,31,2,4
487,397,362,1
487,111,229,5
487,431,11,3
487,304,302,1
487,23,477,5
487,164,22,9
487,354,269,7
487,36,7,1
487,183,185,5
487,149,458,5
487,302,425,3
487,115,33,3
487,135,478,11
487,456,146,5
487,275,393,5
487,80,184,10
487,337,279,1
487,463,224,3
487,96,118,9
487,259,304,2
487,142,12,2
487,340,234,5
487,147,62,12
487,438,276,3
487,354,29,1
487,138,269,2
487,212,320,2
487,441,128,2
487,411,249,1
487,56,177,1
487,411,281,2
487,169,369,6
487,133,159,3
487,352,164,1
487,411,26,4
677,378,313,27
677,358,334,2
677,670,319,16
677,580,57,7
677,288,634,4
677,271,543,11
677,115,80,9
677,516,99,29
677,282,575,31
677,562,73,3
677,364,273,1
677,560,268,1
677,260,454,37
677,493,432,29
677,493,75,7
677,7,49,6
677,161,483,5
677,136,646,21
677,260,196,13
677,133,333,12
677,560,259,34
677,458,635,25
677,282,635,32
677,378,387,3
677,117,647,9
677,219,403,15
677,541,116,5
677,395,604,5
677,7,571,21
677,136,105,18
677,17,539,4
677,406,134,23
677,670,87,4
677,219,304,4
677,271,537,32
677,544,79,22
677,260,9,12
677,427,232,21
677,133,371,19
677,670,459,7
677,42,541,6
677,358,8,13
677,136,561,8
677,299,3,2
677,304,241,6
677,233,558,16
677,378,80,8
677,117,118,1
677,635,427,15
677,233,550,11
677,573,174,18
677,364,414,4
677,544,232,1
677,313,152,3
677,31,549,32
677,288,614,18
677,133,327,11
677,7,479,36
677,104,299,1
677,541,546,31
677,7,590,33
677,427,4,60
677,19,635,11
677,288,111,12
677,573,239,12
677,31,313,4
677,161,109,13
677,395,227,11
677,562,367,14
677,133,250,4
677,42,516,5
677,406,140,16
677,184,534,18
677,304,411,23
677,19,270,2
677,31,269,3
677,97,228,3
677,219,363,18
677,602,511,14
677,233,256,1
677,75,208,5
677,544,251,20
677,646,373,12
677,364,184,15
677,373,565,8
677,660,309,50
677,406,96,5
677,417,668,5
677,406,353,3
677,282,565,8
677,358,451,7
677,658,501,5
677,364,155,7
677,646,439,3
677,136,432,14
677,635,306,3
677,378,61,1
677,427,550,23
677,389,63,3
677,117,418,43
773,528,689,5
773,363,434,1
773,282,703,8
773,118,142,1
773,541,719,2
773,439,326,3
773,167,648,1
773,123,716,10
773,179,313,7
773,133,735,5
773,452,399,1
773,452,619,3
773,271,170,3
773,451,706,3
773,271,586,2
773,487,326,3
773,623,593,1
773,111,614,1
773,246,4,5
773,29,424,5
773,473,112,1
773,488,189,4
773,189,432,1
773,472,548,1
773,472,691,8
773,343,489,3
773,553,278,20
773,727,484,2
773,181,734,6
773,349,532,2
773,556,614,7
773,128,423,9
773,430,114,2
773,488,11,1
773,256,151,2
773,424,149,1
773,745,331,1
773,156,61,9
773,472,596,2
773,363,656,12
773,542,474,7
773,622,292,1
773,133,660,10
773,29,582,6
773,38,429,1
773,330,757,2
773,167,544,23
773,111,691,1
773,645,678,2
773,540,359,4
773,346,147,11
773,720,150,1
773,705,711,1
773,477,749,4
773,329,235,1
773,678,535,5
773,606,565,2
773,332,173,8
773,383,283,14
773,142,581,4
773,544,721,9
773,556,78,1
773,735,370,1
773,444,439,5
773,186,240,3
773,332,54,2
773,491,17,14
773,732,40,2
773,343,644,9
773,156,716,2
773,623,246,5
773,152,75,6
773,444,264,13
773,300,186,10
773,487,628,1
773,424,437,1
773,12,717,14
773,58,687,2
773,256,600,1
773,744,15,3
773,451,187,2
773,689,44,1
773,452,452,10
773,662,129,3
773,621,132,2
773,349,336,1
773,444,131,7
773,142,593,2
773,732,522,2
773,604,744,9
773,135,43,2
773,300,456,2
773,525,357,1
