prime,target_n,total_trials,p_exact,p_hat,relative_error_percent
257,200,931,0.196078431372549,0.21482277121374865,9.5596
293,200,1326,0.1580756013745704,0.15082956259426847,4.5839
353,200,1146,0.1823361823361823,0.17452006980802792,4.2866
509,200,1009,0.1183431952662721,0.19821605550049554,67.4926
523,200,1241,0.0806142034548944,0.16116035455278002,99.9156
557,200,2070,0.0936936936936937,0.0966183574879227,3.1215
587,200,2151,0.0888888888888888,0.09298000929800093,4.6025
613,200,1812,0.1112929623567921,0.11037527593818984,0.8246
683,200,1994,0.1027900146842878,0.10030090270812438,2.4216
823,200,3002,0.0633373934226552,0.06662225183211193,5.1863
1213,200,2338,0.0875309661436829,0.0855431993156544,2.2709
1423,200,1271,0.1632653061224489,0.15735641227380015,3.6192
1579,200,1350,0.1420418516169942,0.14814814814814814,4.2989
1613,200,2586,0.079453755431409,0.07733952049497293,2.661
3467,200,4347,0.0467532467532467,0.04600874166091557,1.5924
5641,200,2999,0.068097180351126,0.06668889629876626,2.0681
5923,200,2537,0.0719473061982773,0.07883326763894363,9.5708
6173,200,2302,0.0823205315183924,0.08688097306689835,5.5399
9643,200,3244,0.0628565501503993,0.06165228113440197,1.9159
9781,200,4003,0.0458124552612741,0.04996252810392206,9.0588
21013,200,12237,0.0156108704964066,0.016343875132793985,4.6955
34141,200,9228,0.0228477694132809,0.021673168617251843,5.141
45979,200,6382,0.0306675076668769,0.031338138514572234,2.1868
46957,200,8655,0.0231711212863379,0.023108030040439053,0.2723
48281,200,9593,0.0218314380993806,0.020848535390388827,4.5022
56857,200,76982,0.0025327587723155,0.002598009924397911,2.5763
57713,200,19607,0.0099807662317409,0.010200438618860611,2.201
60917,200,44947,0.0039399162767791,0.004449685184773177,12.9386
63353,200,15224,0.0136383008950134,0.013137151865475564,3.6746
65287,200,12050,0.0162365014934517,0.016597510373443983,2.2234
