prime,target_n,total_trials,p_exact,p_hat,relative_error_percent
257,100,558,0.196078431372549,0.17921146953405018,8.6022
293,100,653,0.1580756013745704,0.15313935681470137,3.1227
353,100,550,0.1823361823361823,0.18181818181818182,0.2841
509,100,535,0.1183431952662721,0.18691588785046728,57.9439
523,100,627,0.0806142034548944,0.1594896331738437,97.8431
557,100,1046,0.0936936936936937,0.09560229445506692,2.0371
587,100,1337,0.0888888888888888,0.07479431563201197,15.8564
613,100,1033,0.1112929623567921,0.0968054211035818,13.0175
683,100,1054,0.1027900146842878,0.09487666034155598,7.6986
823,100,1744,0.0633373934226552,0.05733944954128441,9.4698
1213,100,1131,0.0875309661436829,0.08841732979664015,1.0126
1423,100,535,0.1632653061224489,0.18691588785046728,14.486
1579,100,634,0.1420418516169942,0.15772870662460567,11.0438
1613,100,1201,0.079453755431409,0.08326394671107411,4.7955
3467,100,2013,0.0467532467532467,0.04967709885742673,6.2538
5641,100,1532,0.068097180351126,0.06527415143603134,4.1456
5923,100,1184,0.0719473061982773,0.08445945945945946,17.3907
6173,100,1330,0.0823205315183924,0.07518796992481203,8.6644
9643,100,1558,0.0628565501503993,0.06418485237483953,2.1132
9781,100,2472,0.0458124552612741,0.040453074433656956,11.6985
21013,100,5499,0.0156108704964066,0.01818512456810329,16.4901
34141,100,4667,0.0228477694132809,0.021427040925648167,6.2182
45979,100,3453,0.0306675076668769,0.028960324355632783,5.5667
46957,100,4073,0.0231711212863379,0.024551927326295114,5.9592
48281,100,4808,0.0218314380993806,0.020798668885191347,4.7307
56857,100,38419,0.0025327587723155,0.002602878783935032,2.7685
57713,100,9873,0.0099807662317409,0.010128633647320976,1.4815
60917,100,20342,0.0039399162767791,0.004915937469275391,24.7726
63353,100,6652,0.0136383008950134,0.01503307276007216,10.2269
65287,100,6031,0.0162365014934517,0.0165809981760902,2.1217
