prime,A,x0,trials
257,27,209,3
257,30,34,2
257,4,144,1
257,15,137,4
257,10,57,6
293,3,284,3
293,210,267,10
293,176,176,16
293,207,41,4
293,47,216,2
353,20,336,6
353,258,131,14
353,119,192,5
353,18,220,5
353,3,249,8
509,132,494,1
509,447,184,5
509,285,469,5
509,214,450,9
509,88,269,6
523,214,424,11
523,351,225,3
523,447,111,6
523,235,244,4
523,87,396,2
557,433,458,25
557,147,176,2
557,205,526,2
557,70,485,10
557,297,152,15
587,322,532,3
587,437,81,7
587,247,488,4
587,435,294,22
587,62,70,7
613,194,344,8
613,216,445,6
613,216,109,7
613,267,495,1
613,224,379,19
683,125,222,8
683,125,40,12
683,291,52,30
683,45,194,7
683,530,295,14
823,75,102,8
823,768,92,5
823,642,328,10
823,19,609,39
823,111,702,32
1213,627,1094,17
1213,258,582,30
1213,430,569,3
1213,372,977,19
1213,430,793,13
1423,312,633,1
1423,549,1275,4
1423,622,480,4
1423,782,1412,2
1423,1297,161,18
1579,1409,1353,1
1579,162,1136,2
1579,532,248,5
1579,754,1343,3
1579,381,502,3
1613,4,64,24
1613,810,220,8
1613,637,1224,8
1613,740,427,28
1613,1347,276,4
3467,1678,446,32
3467,303,2493,4
3467,1073,933,5
3467,970,516,4
3467,871,1726,54
5641,1812,1387,33
5641,1398,2866,24
5641,4315,4922,61
5641,2865,5440,26
5641,3872,5333,11
5923,1191,1241,28
5923,89,4551,6
5923,714,532,4
5923,2128,2761,2
5923,3761,2534,6
6173,4607,4672,3
6173,4180,763,15
6173,3645,1281,26
6173,4943,1424,20
6173,3733,3261,19
9643,4078,3420,2
9643,5992,8662,27
9643,4401,7812,8
9643,3648,5193,8
9643,6054,435,21
9781,7567,44,9
9781,3801,6702,87
9781,864,368,8
9781,7358,3527,1
9781,9211,7981,75
21013,14865,13641,42
21013,11364,1882,73
21013,14565,20292,28
21013,15225,6064,137
21013,7538,12710,94
34141,24071,29824,41
34141,18463,32830,186
34141,4466,12437,28
34141,30227,24724,32
34141,29451,33188,17
45979,37450,13235,23
45979,35880,21614,12
45979,5796,23178,29
45979,31467,40566,14
45979,26080,31631,12
46957,26805,2159,106
46957,13403,38535,2
46957,43130,18004,125
46957,45394,3369,35
46957,8090,1020,43
48281,6906,1082,131
48281,5555,2491,4
48281,4576,32140,11
48281,31749,17788,43
48281,28881,6509,123
56857,46799,8933,259
56857,12456,49477,345
56857,16276,19487,220
56857,17091,5539,558
56857,23103,48414,852
57713,38931,36295,131
57713,51834,21639,178
57713,40152,10140,109
57713,15851,1711,187
57713,41240,5715,102
60917,25934,53020,94
60917,10815,19288,34
60917,55706,36013,123
60917,7655,7374,255
60917,18667,2682,116
63353,62736,27313,71
63353,9812,29033,87
63353,1786,14032,72
63353,28401,55001,317
63353,1785,50092,95
65287,6979,987,13
65287,27650,59420,80
65287,19269,25926,9
65287,49645,57547,72
65287,44645,36737,22
