prime,A,x0,trials
4639633,2912076,1315300,189
4639633,1603585,4242529,36
4639633,2598374,3849766,549
4639633,421068,1477231,45
4639633,796531,3632149,114
4639633,3087141,586248,249
4639633,1323348,902491,825
4639633,3518759,3295834,551
4639633,4337912,3324369,186
4639633,2331524,4604252,50
4713227,372528,313075,268
4713227,3214924,4034178,117
4713227,1000207,1104367,54
4713227,2944858,3854107,912
4713227,3266714,1143613,363
4713227,1635422,1063890,712
4713227,267014,97015,2833
4713227,903402,597432,142
4713227,3905069,2184393,2169
4713227,415430,1884317,411
4835533,2260862,262570,1082
4835533,69373,3996931,397
4835533,2844731,3307712,138
4835533,4167988,3078830,161
4835533,492506,730159,280
4835533,3432040,2111369,337
4835533,1636772,3583040,630
4835533,518130,1942357,223
4835533,393565,2963366,261
4835533,2161025,2805997,69
