prime,A,x0,trials
7884529,539951,5359540,698
7884529,6096129,5667516,47
7884529,2507687,5921140,899
7884529,4112767,792430,514
7884529,3098503,3934358,57
7884529,1455277,742869,135
7884529,5265470,2751982,568
7884529,5841269,7138833,102
7884529,3812214,1087520,665
7884529,4683388,3235628,699
7933201,3093365,882160,26
7933201,5425378,7835154,314
7933201,6346274,3987726,965
7933201,4452771,5315469,383
7933201,4809300,1828567,1568
7933201,7489864,6932039,368
7933201,2281767,4941691,36
7933201,7084041,5586113,365
7933201,3659096,2469614,251
7933201,4356291,6511387,848
8048881,2335597,3806546,233
8048881,3265906,2597039,113
8048881,4781618,4242589,343
8048881,2271215,6294307,3284
8048881,7137599,1285103,531
8048881,2645811,1983950,152
8048881,1443888,3448064,1964
8048881,3833987,3355456,693
8048881,2887712,2503803,366
8048881,5617400,2806009,4481
