prime,A,x0,trials,param_a_count,param_b_avg
35051,23563,6330,18,3.0,305.88
35051,1482,18516,12,3.0,305.88
35051,29787,13010,6,3.0,305.88
35051,3988,30204,11,3.0,305.88
35051,23485,12377,20,3.0,305.88
35051,33433,3440,7,3.0,305.88
35051,30220,22604,7,3.0,305.88
35051,25508,28913,14,3.0,305.88
35051,9276,25135,31,3.0,305.88
35051,20322,32504,10,3.0,305.88
36497,2595,20600,176,3.0,276.23
36497,13532,1852,17,3.0,276.23
36497,35471,23763,88,3.0,276.23
36497,10287,11352,29,3.0,276.23
36497,6568,33958,9,3.0,276.23
36497,21848,25529,41,3.0,276.23
36497,31859,10676,27,3.0,276.23
36497,25528,2547,52,3.0,276.23
36497,3993,688,5,3.0,276.23
36497,16670,21516,1,3.0,276.23
36563,28277,10785,34,3.0,311.78
36563,25872,923,60,3.0,311.78
36563,20874,16090,42,3.0,311.78
36563,23326,11741,53,3.0,311.78
36563,16893,3021,21,3.0,311.78
36563,34816,32566,13,3.0,311.78
36563,3878,2992,4,3.0,311.78
36563,28307,20843,4,3.0,311.78
36563,1275,8726,75,3.0,311.78
36563,33324,3469,98,3.0,311.78
