prime,A,x0,trials,param_a_count,param_b_avg
92119,65422,24116,14,3.0,413.31
92119,33235,45190,24,3.0,413.31
92119,60755,6316,29,3.0,413.31
92119,13717,40704,13,3.0,413.31
92119,5024,1607,11,3.0,413.31
92119,43177,45480,37,3.0,413.31
92119,38552,23967,16,3.0,413.31
92119,39291,79715,30,3.0,413.31
92119,518,68011,69,3.0,413.31
92119,54338,75208,37,3.0,413.31
94207,38169,86552,94,3.0,430.39
94207,50192,11748,38,3.0,430.39
94207,90263,77490,63,3.0,430.39
94207,74914,27379,34,3.0,430.39
94207,38144,23756,103,3.0,430.39
94207,10615,53942,146,3.0,430.39
94207,75391,61477,12,3.0,430.39
94207,30750,43890,39,3.0,430.39
94207,50719,22828,108,3.0,430.39
94207,16743,62487,32,3.0,430.39
97177,52044,15521,192,3.0,397.66
97177,26504,61897,23,3.0,397.66
97177,92958,67026,33,3.0,397.66
97177,82484,84030,7,3.0,397.66
97177,2824,77374,216,3.0,397.66
97177,1873,86669,25,3.0,397.66
97177,65658,62902,22,3.0,397.66
97177,87839,31450,211,3.0,397.66
97177,72306,94474,36,3.0,397.66
97177,68806,43087,53,3.0,397.66
