prime,A,x0,trials,param_a_count,param_b_avg
56333,29302,18645,756,1.0,474.48
56333,26846,50949,47,1.0,474.48
56333,44218,51948,31,1.0,474.48
56333,29487,39173,120,1.0,474.48
56333,43383,14034,115,1.0,474.48
56333,30358,8042,42,1.0,474.48
56333,50728,53974,347,1.0,474.48
56333,13921,38954,207,1.0,474.48
56333,55289,20944,28,1.0,474.48
56333,16191,53434,250,1.0,474.48
59791,14945,55334,41,2.0,378.7
59791,45446,32735,175,2.0,378.7
59791,59018,58986,92,2.0,378.7
59791,59654,5691,159,2.0,378.7
59791,30246,35970,30,2.0,378.7
59791,43912,14267,11,2.0,378.7
59791,28662,14619,83,2.0,378.7
59791,51173,35225,18,2.0,378.7
59791,40657,21042,392,2.0,378.7
59791,39787,11377,153,2.0,378.7
60899,19113,1788,255,2.0,294.7
60899,12241,41577,577,2.0,294.7
60899,58855,26628,117,2.0,294.7
60899,27873,38218,73,2.0,294.7
60899,36048,11149,228,2.0,294.7
60899,33590,23354,172,2.0,294.7
60899,45325,3487,1,2.0,294.7
60899,4364,57790,240,2.0,294.7
60899,2357,7197,331,2.0,294.7
60899,13664,23047,395,2.0,294.7
