prime,A,x0,trials,param_a_count,param_b_avg
5623,3330,4446,12,3.0,100.98
5623,1147,5532,21,3.0,100.98
5623,3623,4509,4,3.0,100.98
5623,577,330,20,3.0,100.98
5623,3476,2619,2,3.0,100.98
5623,4348,5269,25,3.0,100.98
5623,327,982,21,3.0,100.98
5623,2670,550,6,3.0,100.98
5623,4544,5450,4,3.0,100.98
5623,3454,2003,19,3.0,100.98
5851,383,2449,15,2.0,135.46
5851,444,3107,116,2.0,135.46
5851,234,148,20,2.0,135.46
5851,1671,3857,56,2.0,135.46
5851,5684,2107,87,2.0,135.46
5851,4663,4167,71,2.0,135.46
5851,2192,161,34,2.0,135.46
5851,517,1507,55,2.0,135.46
5851,3442,1898,3,2.0,135.46
5851,2445,5432,50,2.0,135.46
5879,5827,3641,11,3.0,106.49
5879,1843,2731,10,3.0,106.49
5879,2437,2384,6,3.0,106.49
5879,5004,1333,6,3.0,106.49
5879,269,4108,10,3.0,106.49
5879,3989,221,27,3.0,106.49
5879,5391,764,10,3.0,106.49
5879,4191,5448,6,3.0,106.49
5879,2639,3228,2,3.0,106.49
5879,2551,3466,5,3.0,106.49
