prime,A,x0,trials,param_a_count,param_b_avg
5099,1454,1277,5,2.0,117.43
5099,4351,1554,25,2.0,117.43
5099,333,3998,69,2.0,117.43
5099,2897,2017,33,2.0,117.43
5099,4824,4953,40,2.0,117.43
5099,1411,2378,69,2.0,117.43
5099,618,880,22,2.0,117.43
5099,4824,2168,14,2.0,117.43
5099,3381,2637,9,2.0,117.43
5099,2721,3018,17,2.0,117.43
5227,273,784,13,2.0,119.68
5227,107,4963,48,2.0,119.68
5227,3757,2298,24,2.0,119.68
5227,5216,2945,19,2.0,119.68
5227,732,1611,4,2.0,119.68
5227,3620,2447,7,2.0,119.68
5227,2830,2313,21,2.0,119.68
5227,3269,45,51,2.0,119.68
5227,3907,4281,9,2.0,119.68
5227,1470,461,17,2.0,119.68
5573,3190,1376,32,2.0,134.73
5573,157,1353,49,2.0,134.73
5573,3941,411,1,2.0,134.73
5573,735,2685,30,2.0,134.73
5573,2811,5109,22,2.0,134.73
5573,4318,4259,37,2.0,134.73
5573,3930,255,81,2.0,134.73
5573,2707,4686,39,2.0,134.73
5573,4145,2300,5,2.0,134.73
5573,4321,4917,17,2.0,134.73
