prime,A,x0,trials,param_a_count,param_b_avg
1471,597,472,19,3.0,53.76
1471,805,5,52,3.0,53.76
1471,197,1002,5,3.0,53.76
1471,347,774,11,3.0,53.76
1471,529,1359,32,3.0,53.76
1471,334,18,26,3.0,53.76
1471,349,1125,19,3.0,53.76
1471,1397,27,9,3.0,53.76
1471,996,1377,11,3.0,53.76
1471,1135,254,4,3.0,53.76
1489,395,749,2,2.0,68.51
1489,828,947,55,2.0,68.51
1489,1370,1382,8,2.0,68.51
1489,277,900,4,2.0,68.51
1489,142,10,1,2.0,68.51
1489,355,1373,2,2.0,68.51
1489,1114,467,58,2.0,68.51
1489,385,1133,24,2.0,68.51
1489,268,651,11,2.0,68.51
1489,715,1322,24,2.0,68.51
1597,280,827,25,3.0,58.47
1597,321,1376,3,3.0,58.47
1597,99,504,1,3.0,58.47
1597,197,633,12,3.0,58.47
1597,582,1436,1,3.0,58.47
1597,1480,401,12,3.0,58.47
1597,1367,1529,2,3.0,58.47
1597,448,888,16,3.0,58.47
1597,192,1567,5,3.0,58.47
1597,217,909,3,3.0,58.47
