prime,A,x0,trials,param_a_count,param_b_avg
307,122,57,2,2.0,30.85
307,90,74,3,2.0,30.85
307,139,215,3,2.0,30.85
307,22,172,7,2.0,30.85
307,227,66,6,2.0,30.85
307,228,130,1,2.0,30.85
307,34,246,1,2.0,30.85
307,176,243,1,2.0,30.85
307,204,40,1,2.0,30.85
307,233,152,1,2.0,30.85
311,154,244,8,2.0,30.1
311,285,186,3,2.0,30.1
311,103,10,3,2.0,30.1
311,176,248,5,2.0,30.1
311,125,199,7,2.0,30.1
311,103,189,1,2.0,30.1
311,298,46,2,2.0,30.1
311,48,232,3,2.0,30.1
311,103,4,6,2.0,30.1
311,173,117,7,2.0,30.1
317,224,153,9,3.0,21.77
317,152,67,30,3.0,21.77
317,246,106,41,3.0,21.77
317,280,64,20,3.0,21.77
317,258,50,2,3.0,21.77
317,150,202,4,3.0,21.77
317,226,182,7,3.0,21.77
317,30,102,5,3.0,21.77
317,155,209,15,3.0,21.77
317,59,93,1,3.0,21.77
