prime,A,x0,trials,param_a_count,param_b_avg
167,88,139,3,2.0,17.08
167,79,85,1,2.0,17.08
167,19,135,1,2.0,17.08
167,112,29,1,2.0,17.08
167,34,130,2,2.0,17.08
167,81,164,7,2.0,17.08
167,148,130,1,2.0,17.08
167,120,160,9,2.0,17.08
167,150,163,1,2.0,17.08
167,131,101,8,2.0,17.08
173,149,24,3,2.0,20.73
173,19,94,10,2.0,20.73
173,62,105,9,2.0,20.73
173,13,100,4,2.0,20.73
173,18,74,8,2.0,20.73
173,29,144,2,2.0,20.73
173,144,144,6,2.0,20.73
173,102,131,2,2.0,20.73
173,121,116,9,2.0,20.73
173,87,32,7,2.0,20.73
181,171,168,5,2.0,20.24
181,84,6,3,2.0,20.24
181,163,40,7,2.0,20.24
181,16,80,7,2.0,20.24
181,16,48,15,2.0,20.24
181,150,158,2,2.0,20.24
181,98,135,6,2.0,20.24
181,109,164,4,2.0,20.24
181,44,96,3,2.0,20.24
181,92,43,5,2.0,20.24
