prime,A,x0,trials,param_a_count,param_b_avg
719,535,209,5,2.0,37.55
719,512,530,3,2.0,37.55
719,178,361,14,2.0,37.55
719,360,539,10,2.0,37.55
719,329,300,2,2.0,37.55
719,174,676,4,2.0,37.55
719,88,166,2,2.0,37.55
719,634,709,7,2.0,37.55
719,634,612,1,2.0,37.55
719,225,141,4,2.0,37.55
739,663,574,4,2.0,43.67
739,619,300,8,2.0,43.67
739,125,171,1,2.0,43.67
739,533,656,3,2.0,43.67
739,349,505,8,2.0,43.67
739,253,79,16,2.0,43.67
739,516,366,5,2.0,43.67
739,239,494,3,2.0,43.67
739,77,568,8,2.0,43.67
739,393,140,2,2.0,43.67
773,186,616,11,1.0,55.28
773,153,242,3,1.0,55.28
773,332,104,6,1.0,55.28
773,301,177,1,1.0,55.28
773,332,691,8,1.0,55.28
773,735,179,7,1.0,55.28
773,745,636,3,1.0,55.28
773,208,360,7,1.0,55.28
773,118,710,5,1.0,55.28
773,576,367,3,1.0,55.28
