prime,A,x0,trials,param_a_count,param_b_avg
151,89,25,20,2.0,14.26
151,48,8,1,2.0,14.26
151,72,78,9,2.0,14.26
151,84,43,3,2.0,14.26
151,72,17,11,2.0,14.26
151,89,145,4,2.0,14.26
151,62,63,13,2.0,14.26
151,84,138,5,2.0,14.26
151,72,80,6,2.0,14.26
151,108,39,2,2.0,14.26
157,3,41,3,1.0,24.98
157,136,73,8,1.0,24.98
157,138,98,12,1.0,24.98
157,40,43,5,1.0,24.98
157,40,5,3,1.0,24.98
157,18,149,3,1.0,24.98
157,136,88,1,1.0,24.98
157,139,135,26,1.0,24.98
157,19,92,1,1.0,24.98
157,102,5,2,1.0,24.98
163,156,151,17,1.0,25.22
163,32,58,21,1.0,25.22
163,31,54,10,1.0,25.22
163,4,146,2,1.0,25.22
163,150,116,9,1.0,25.22
163,150,20,10,1.0,25.22
163,82,76,10,1.0,25.22
163,54,8,20,1.0,25.22
163,81,144,1,1.0,25.22
163,124,19,7,1.0,25.22
