prime,A,x0,trials,param_a_count,param_b_avg
409,318,67,12,3.0,28.28
409,181,356,12,3.0,28.28
409,191,74,3,3.0,28.28
409,264,59,3,3.0,28.28
409,256,257,1,3.0,28.28
409,305,217,13,3.0,28.28
409,103,346,2,3.0,28.28
409,153,299,2,3.0,28.28
409,68,156,5,3.0,28.28
409,73,103,6,3.0,28.28
421,257,298,4,3.0,29.28
421,129,328,10,3.0,29.28
421,275,99,3,3.0,29.28
421,4,154,9,3.0,29.28
421,281,345,12,3.0,29.28
421,164,271,7,3.0,29.28
421,281,18,4,3.0,29.28
421,53,378,2,3.0,29.28
421,336,155,2,3.0,29.28
421,50,137,3,3.0,29.28
433,209,322,4,2.0,38.36
433,195,96,8,2.0,38.36
433,10,404,1,2.0,38.36
433,121,147,1,2.0,38.36
433,399,65,5,2.0,38.36
433,117,201,4,2.0,38.36
433,266,398,13,2.0,38.36
433,177,208,1,2.0,38.36
433,239,206,3,2.0,38.36
433,371,283,15,2.0,38.36
