prime,A,x0,trials,param_a_count,param_b_avg
809,51,744,5,2.0,45.41
809,107,115,12,2.0,45.41
809,8,384,7,2.0,45.41
809,381,115,1,2.0,45.41
809,806,596,3,2.0,45.41
809,8,699,3,2.0,45.41
809,500,337,13,2.0,45.41
809,71,508,4,2.0,45.41
809,194,607,4,2.0,45.41
809,23,650,1,2.0,45.41
811,443,534,5,2.0,44.75
811,454,11,12,2.0,44.75
811,616,320,8,2.0,44.75
811,194,217,15,2.0,44.75
811,107,699,2,2.0,44.75
811,727,193,4,2.0,44.75
811,434,655,4,2.0,44.75
811,452,710,3,2.0,44.75
811,226,761,1,2.0,44.75
811,370,560,17,2.0,44.75
821,365,318,11,2.0,37.81
821,464,83,2,2.0,37.81
821,614,116,7,2.0,37.81
821,92,775,1,2.0,37.81
821,37,601,15,2.0,37.81
821,21,570,10,2.0,37.81
821,447,200,9,2.0,37.81
821,140,710,3,2.0,37.81
821,374,743,43,2.0,37.81
821,154,689,29,2.0,37.81
