=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_8_digits.csv
Test Dimension (k): 4360 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000583
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 13761.300940
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.84 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10932401        | Original Mean y_bar:   707.60 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 10980133        | Original Mean y_bar:   390.55 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 10985479        | Original Mean y_bar:   977.05 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 10997711        | Original Mean y_bar:   536.40 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11073149        | Original Mean y_bar:   861.10 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11091631        | Original Mean y_bar:   724.10 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11101711        | Original Mean y_bar:   542.00 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11110609        | Original Mean y_bar:   768.70 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11111819        | Original Mean y_bar:   463.15 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11130263        | Original Mean y_bar:   227.00 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11136089        | Original Mean y_bar:   493.60 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11171597        | Original Mean y_bar:   980.05 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11207351        | Original Mean y_bar:   433.95 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11244859        | Original Mean y_bar:   531.85 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11250367        | Original Mean y_bar:   486.55 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11258083        | Original Mean y_bar:   629.85 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11272421        | Original Mean y_bar:   599.90 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11277391        | Original Mean y_bar:   262.90 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11286503        | Original Mean y_bar:   302.50 | Fitted Prob p_tilde: 0.001717 | Sample Size n: 20
Prime: 11318597        | Original Mean y_bar:  1197.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11329001        | Original Mean y_bar:   865.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11331167        | Original Mean y_bar:   364.50 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11337409        | Original Mean y_bar:  1058.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11352877        | Original Mean y_bar:   551.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11363617        | Original Mean y_bar:  1276.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11369207        | Original Mean y_bar:   425.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11372783        | Original Mean y_bar:   317.70 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11386901        | Original Mean y_bar:   576.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11421877        | Original Mean y_bar:   901.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11448487        | Original Mean y_bar:   406.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11496713        | Original Mean y_bar:   428.85 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11513897        | Original Mean y_bar:   722.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11527427        | Original Mean y_bar:   585.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11562673        | Original Mean y_bar:   929.25 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11564783        | Original Mean y_bar:   570.00 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11566211        | Original Mean y_bar:   364.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11596633        | Original Mean y_bar:   519.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11612077        | Original Mean y_bar:   419.80 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11626123        | Original Mean y_bar:   686.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11652211        | Original Mean y_bar:   645.60 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11728061        | Original Mean y_bar:   571.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11753957        | Original Mean y_bar:   664.65 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11754569        | Original Mean y_bar:   778.20 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11777261        | Original Mean y_bar:   626.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11801611        | Original Mean y_bar:   350.05 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11803601        | Original Mean y_bar:   846.40 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11811047        | Original Mean y_bar:   710.60 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11824849        | Original Mean y_bar:   655.45 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11889037        | Original Mean y_bar:   576.30 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11890933        | Original Mean y_bar:   649.60 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11928431        | Original Mean y_bar:   767.15 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11941921        | Original Mean y_bar:   462.75 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
Prime: 11981117        | Original Mean y_bar:   505.55 | Fitted Prob p_tilde: 0.001658 | Sample Size n: 20
