=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_12_digits.csv
Test Dimension (k): 2861 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000007
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 4293.334346
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 9.43 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 113993726579    | Original Mean y_bar: 32884.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 114137512171    | Original Mean y_bar: 29338.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 114281524589    | Original Mean y_bar: 99354.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 114619328401    | Original Mean y_bar: 88283.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 114791875057    | Original Mean y_bar: 115533.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 114879009571    | Original Mean y_bar: 29531.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 115350154279    | Original Mean y_bar: 54498.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 115759219547    | Original Mean y_bar: 41388.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 116102852297    | Original Mean y_bar: 82642.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 117010764457    | Original Mean y_bar: 116279.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 117065302583    | Original Mean y_bar: 47513.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 117138734987    | Original Mean y_bar: 66097.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 117587464121    | Original Mean y_bar: 26046.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 117826714517    | Original Mean y_bar: 33641.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 118466147441    | Original Mean y_bar: 118723.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 118590619627    | Original Mean y_bar: 145798.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 119145798929    | Original Mean y_bar: 15586.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 119718117947    | Original Mean y_bar: 128801.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 120222578363    | Original Mean y_bar: 110223.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 120698988013    | Original Mean y_bar: 51002.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 120739369043    | Original Mean y_bar: 123113.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 120861753869    | Original Mean y_bar: 173788.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 121730398709    | Original Mean y_bar: 63744.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 121835730103    | Original Mean y_bar: 90771.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 121917953251    | Original Mean y_bar: 29801.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 121936569163    | Original Mean y_bar: 110213.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 122129149741    | Original Mean y_bar: 91548.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 122948775973    | Original Mean y_bar: 17624.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 123154632851    | Original Mean y_bar: 92462.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 123291791033    | Original Mean y_bar: 77732.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 123705341197    | Original Mean y_bar: 69838.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 123964692289    | Original Mean y_bar: 71123.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 124027455007    | Original Mean y_bar: 121162.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 124288982569    | Original Mean y_bar: 87653.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 124648005961    | Original Mean y_bar: 94203.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 125556926623    | Original Mean y_bar: 54434.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 125602991141    | Original Mean y_bar: 41655.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127064660297    | Original Mean y_bar: 315466.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127562437181    | Original Mean y_bar: 105208.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127692385493    | Original Mean y_bar: 164805.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127701089963    | Original Mean y_bar: 50076.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127714837907    | Original Mean y_bar: 63793.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 127760607547    | Original Mean y_bar: 77684.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 128574725999    | Original Mean y_bar: 42451.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 128706820339    | Original Mean y_bar: 29382.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 128713287877    | Original Mean y_bar: 72746.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129061297229    | Original Mean y_bar: 154597.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129125285903    | Original Mean y_bar: 12792.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129298491409    | Original Mean y_bar: 76737.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129594524197    | Original Mean y_bar: 43461.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129732073343    | Original Mean y_bar: 79267.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 129909224297    | Original Mean y_bar: 112942.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130027047347    | Original Mean y_bar: 42112.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130108449089    | Original Mean y_bar: 94178.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130461057989    | Original Mean y_bar: 112541.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130611480361    | Original Mean y_bar: 71444.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130728900503    | Original Mean y_bar: 49004.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 130843234061    | Original Mean y_bar: 58088.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 131587730537    | Original Mean y_bar: 69691.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132022345417    | Original Mean y_bar: 47328.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132050281589    | Original Mean y_bar: 185937.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132113452379    | Original Mean y_bar: 50624.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132553925681    | Original Mean y_bar: 101315.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132765909457    | Original Mean y_bar: 45976.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132886282183    | Original Mean y_bar: 44929.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 132899107477    | Original Mean y_bar: 66450.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133375552097    | Original Mean y_bar: 150045.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133453503553    | Original Mean y_bar: 174278.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133461214643    | Original Mean y_bar: 96853.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133492913987    | Original Mean y_bar: 300793.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133538142877    | Original Mean y_bar: 25457.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133922047913    | Original Mean y_bar: 98873.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 133999828471    | Original Mean y_bar: 28289.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 134042530991    | Original Mean y_bar: 57660.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 134046842729    | Original Mean y_bar: 80250.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 134058305159    | Original Mean y_bar: 51396.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 134296511633    | Original Mean y_bar: 52483.40 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 134721400621    | Original Mean y_bar: 73904.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 135048847397    | Original Mean y_bar: 120419.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 135254970667    | Original Mean y_bar: 77550.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 135919934599    | Original Mean y_bar: 107101.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 135953664071    | Original Mean y_bar: 72182.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 136315052689    | Original Mean y_bar: 66694.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 136410003529    | Original Mean y_bar: 179977.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 136423093223    | Original Mean y_bar: 72710.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 136826506367    | Original Mean y_bar: 79703.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 137125408999    | Original Mean y_bar: 54599.80 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 137555216371    | Original Mean y_bar: 92034.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 137817864229    | Original Mean y_bar: 45449.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 138022657337    | Original Mean y_bar: 140065.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 138547784981    | Original Mean y_bar: 78653.00 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 138615507091    | Original Mean y_bar: 138902.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 139092601831    | Original Mean y_bar: 59319.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 140359120613    | Original Mean y_bar: 53820.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 140831374679    | Original Mean y_bar: 41973.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 140898289507    | Original Mean y_bar: 59805.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 141356153681    | Original Mean y_bar: 15338.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 141865050889    | Original Mean y_bar: 72565.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 142111161209    | Original Mean y_bar: 77280.60 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
Prime: 142380568361    | Original Mean y_bar: 91240.20 | Fitted Prob p_tilde: 0.000013 | Sample Size n: 5
