=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_10_digits.csv
Test Dimension (k): 3484 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000061
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 10764.210731
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 12.04 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 1122235547      | Original Mean y_bar: 11244.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1125242101      | Original Mean y_bar: 11176.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1126670711      | Original Mean y_bar:  6389.35 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1127592121      | Original Mean y_bar: 15354.55 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1128375217      | Original Mean y_bar: 14317.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1129581731      | Original Mean y_bar: 20258.10 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1133051873      | Original Mean y_bar: 17589.30 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1133537753      | Original Mean y_bar:  8471.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1140317999      | Original Mean y_bar:  3805.70 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1142879533      | Original Mean y_bar: 34697.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1146150779      | Original Mean y_bar: 11736.30 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1149750221      | Original Mean y_bar:  4500.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1151873731      | Original Mean y_bar:  6069.25 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1159230143      | Original Mean y_bar:  3786.90 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1159611967      | Original Mean y_bar: 10036.85 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1159623389      | Original Mean y_bar: 12264.55 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1162647043      | Original Mean y_bar:  5793.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1165979021      | Original Mean y_bar:  5460.00 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1167825751      | Original Mean y_bar:  3372.95 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1169120041      | Original Mean y_bar:  7785.15 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1169808667      | Original Mean y_bar:  4199.70 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1179416831      | Original Mean y_bar:  8652.90 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1179606277      | Original Mean y_bar:  9098.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1179635267      | Original Mean y_bar:  5689.25 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1183644619      | Original Mean y_bar: 11265.30 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1186172371      | Original Mean y_bar:  5886.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1186521383      | Original Mean y_bar: 10137.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1188313351      | Original Mean y_bar:  5619.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1195060247      | Original Mean y_bar:  8126.55 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1197062819      | Original Mean y_bar:  7649.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1198073231      | Original Mean y_bar:  4560.85 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1201716937      | Original Mean y_bar: 10339.10 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1208250971      | Original Mean y_bar:  8845.35 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1213864321      | Original Mean y_bar:  7737.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1218545371      | Original Mean y_bar:  4132.50 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1219415489      | Original Mean y_bar: 14069.30 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1221657713      | Original Mean y_bar: 15382.15 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1222572821      | Original Mean y_bar: 10183.20 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1223451773      | Original Mean y_bar:  4346.25 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1224327583      | Original Mean y_bar:  6439.90 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1227588601      | Original Mean y_bar: 10742.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1236037657      | Original Mean y_bar: 10542.10 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1236784291      | Original Mean y_bar:  7436.10 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1238739923      | Original Mean y_bar: 17512.45 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1243942643      | Original Mean y_bar: 10493.25 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1244513771      | Original Mean y_bar:  5436.55 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1245181829      | Original Mean y_bar:  5370.10 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1253085013      | Original Mean y_bar:  6688.40 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1255601107      | Original Mean y_bar:  7530.80 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1256459849      | Original Mean y_bar: 15065.25 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1257218311      | Original Mean y_bar:  4339.60 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1258304149      | Original Mean y_bar:  6333.85 | Fitted Prob p_tilde: 0.000105 | Sample Size n: 20
Prime: 1258485913      | Original Mean y_bar: 12642.55 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1258899743      | Original Mean y_bar:  8713.90 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1260533669      | Original Mean y_bar: 16399.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1263567523      | Original Mean y_bar:  9046.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1265406589      | Original Mean y_bar: 10755.20 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1269066989      | Original Mean y_bar:  9449.85 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1270400909      | Original Mean y_bar:  8933.15 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1270623457      | Original Mean y_bar: 19443.65 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1272345031      | Original Mean y_bar:  6460.40 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1273575691      | Original Mean y_bar:  9137.05 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1273853257      | Original Mean y_bar: 16336.30 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
Prime: 1278066563      | Original Mean y_bar: 12109.70 | Fitted Prob p_tilde: 0.000102 | Sample Size n: 20
