=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_5_digits.csv
Test Dimension (k): 5961 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.015736
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 22420.448284
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 19.53 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 10723           | Original Mean y_bar:    14.55 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10739           | Original Mean y_bar:    19.30 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10771           | Original Mean y_bar:    12.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10781           | Original Mean y_bar:    15.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10799           | Original Mean y_bar:    15.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10853           | Original Mean y_bar:    11.40 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10859           | Original Mean y_bar:    21.10 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10867           | Original Mean y_bar:    13.65 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10889           | Original Mean y_bar:    20.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10891           | Original Mean y_bar:    18.65 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10909           | Original Mean y_bar:    24.85 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10937           | Original Mean y_bar:    15.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10939           | Original Mean y_bar:    15.00 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10957           | Original Mean y_bar:    12.95 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10973           | Original Mean y_bar:    36.10 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10979           | Original Mean y_bar:    22.25 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10987           | Original Mean y_bar:    18.15 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 10993           | Original Mean y_bar:    15.85 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11003           | Original Mean y_bar:    19.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11027           | Original Mean y_bar:    21.90 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11047           | Original Mean y_bar:    11.90 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11057           | Original Mean y_bar:    22.55 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11059           | Original Mean y_bar:    13.70 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11069           | Original Mean y_bar:    18.30 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11093           | Original Mean y_bar:    26.85 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11113           | Original Mean y_bar:    22.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11117           | Original Mean y_bar:    23.15 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11119           | Original Mean y_bar:     9.10 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11149           | Original Mean y_bar:    19.95 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11161           | Original Mean y_bar:    25.95 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11171           | Original Mean y_bar:    18.00 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11177           | Original Mean y_bar:    21.15 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11197           | Original Mean y_bar:    23.40 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11239           | Original Mean y_bar:    20.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11243           | Original Mean y_bar:    20.85 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11251           | Original Mean y_bar:    14.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11257           | Original Mean y_bar:    21.80 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11261           | Original Mean y_bar:    22.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11273           | Original Mean y_bar:    29.70 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11287           | Original Mean y_bar:    19.45 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11299           | Original Mean y_bar:    17.60 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11311           | Original Mean y_bar:    16.60 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11317           | Original Mean y_bar:    18.90 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11321           | Original Mean y_bar:    18.15 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11351           | Original Mean y_bar:    16.30 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11369           | Original Mean y_bar:    14.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11393           | Original Mean y_bar:    18.20 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11399           | Original Mean y_bar:     9.75 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11411           | Original Mean y_bar:    19.45 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11423           | Original Mean y_bar:    16.10 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11443           | Original Mean y_bar:    10.80 | Fitted Prob p_tilde: 0.051704 | Sample Size n: 20
Prime: 11467           | Original Mean y_bar:    35.05 | Fitted Prob p_tilde: 0.029652 | Sample Size n: 20
Prime: 11471           | Original Mean y_bar:    32.40 | Fitted Prob p_tilde: 0.029652 | Sample Size n: 20
Prime: 11483           | Original Mean y_bar:    75.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11491           | Original Mean y_bar:    92.80 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11497           | Original Mean y_bar:    51.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11503           | Original Mean y_bar:    70.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11519           | Original Mean y_bar:    86.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11527           | Original Mean y_bar:    45.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11549           | Original Mean y_bar:    53.65 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11551           | Original Mean y_bar:   103.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11587           | Original Mean y_bar:    31.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11593           | Original Mean y_bar:    50.20 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11597           | Original Mean y_bar:    37.55 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11621           | Original Mean y_bar:    42.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11633           | Original Mean y_bar:    24.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11657           | Original Mean y_bar:    43.20 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11677           | Original Mean y_bar:    41.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11681           | Original Mean y_bar:    78.65 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11689           | Original Mean y_bar:    29.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11699           | Original Mean y_bar:    39.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11701           | Original Mean y_bar:    40.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11717           | Original Mean y_bar:    33.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11719           | Original Mean y_bar:    23.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11777           | Original Mean y_bar:    70.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11779           | Original Mean y_bar:    17.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11801           | Original Mean y_bar:    83.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11807           | Original Mean y_bar:    22.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11813           | Original Mean y_bar:   121.50 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11821           | Original Mean y_bar:    69.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11831           | Original Mean y_bar:    38.85 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11833           | Original Mean y_bar:    48.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11839           | Original Mean y_bar:    19.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11887           | Original Mean y_bar:    34.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11897           | Original Mean y_bar:    50.75 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11903           | Original Mean y_bar:    44.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11923           | Original Mean y_bar:    29.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11927           | Original Mean y_bar:    22.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11933           | Original Mean y_bar:    48.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11939           | Original Mean y_bar:    41.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11941           | Original Mean y_bar:    64.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11953           | Original Mean y_bar:    74.75 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11969           | Original Mean y_bar:    49.85 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11971           | Original Mean y_bar:    43.65 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 11981           | Original Mean y_bar:    90.75 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12011           | Original Mean y_bar:   108.80 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12037           | Original Mean y_bar:   119.85 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12041           | Original Mean y_bar:    71.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12043           | Original Mean y_bar:   266.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12071           | Original Mean y_bar:    60.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12073           | Original Mean y_bar:    52.55 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12097           | Original Mean y_bar:    53.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12107           | Original Mean y_bar:    19.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12113           | Original Mean y_bar:    30.75 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12119           | Original Mean y_bar:    42.60 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12157           | Original Mean y_bar:    42.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12161           | Original Mean y_bar:    29.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12163           | Original Mean y_bar:    29.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12203           | Original Mean y_bar:    18.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12211           | Original Mean y_bar:    32.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12227           | Original Mean y_bar:    18.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12239           | Original Mean y_bar:    26.60 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12251           | Original Mean y_bar:    20.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12253           | Original Mean y_bar:    26.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12263           | Original Mean y_bar:    16.90 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12269           | Original Mean y_bar:    18.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12277           | Original Mean y_bar:    69.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12289           | Original Mean y_bar:    37.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12347           | Original Mean y_bar:    22.55 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12373           | Original Mean y_bar:    18.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12391           | Original Mean y_bar:    28.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12409           | Original Mean y_bar:    28.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12413           | Original Mean y_bar:    12.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12421           | Original Mean y_bar:    23.85 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12437           | Original Mean y_bar:    19.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12451           | Original Mean y_bar:    17.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12473           | Original Mean y_bar:    29.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12503           | Original Mean y_bar:    38.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12517           | Original Mean y_bar:    56.95 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12527           | Original Mean y_bar:    99.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12577           | Original Mean y_bar:    57.15 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12583           | Original Mean y_bar:    37.35 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12589           | Original Mean y_bar:    55.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12601           | Original Mean y_bar:    59.20 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12611           | Original Mean y_bar:    46.00 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12613           | Original Mean y_bar:    59.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12641           | Original Mean y_bar:    51.50 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12647           | Original Mean y_bar:    22.70 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12653           | Original Mean y_bar:    50.45 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12689           | Original Mean y_bar:    52.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12697           | Original Mean y_bar:    30.40 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12713           | Original Mean y_bar:    50.50 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12721           | Original Mean y_bar:    52.05 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12739           | Original Mean y_bar:    32.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12743           | Original Mean y_bar:    17.50 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12757           | Original Mean y_bar:    40.55 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12763           | Original Mean y_bar:    35.30 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12799           | Original Mean y_bar:    33.10 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
Prime: 12809           | Original Mean y_bar:    61.25 | Fitted Prob p_tilde: 0.024729 | Sample Size n: 20
