Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
1000-1100,1,1019,1039,1069
1101-1211,2,1123,1153,1181
1212-1333,3,1223,1279,1303
1334-1467,4,1367,1427,1429
1468-1614,5,1597,1601,1613
1615-1776,6,1627,1669,1721
1777-1954,7,1831,1901,1951
1955-2150,8,1993,2069,2143
2151-2366,9,2309,2311,2339
2367-2603,10,2381,2411,2539
2604-2864,11,2689,2803,2843
2865-3151,12,2879,3061,3079
3152-3467,13,3163,3319,3331
3468-3814,14,3701,3769,3779
3815-4196,15,4027,4139,4177
4197-4616,16,4243,4483,4567
4617-5078,17,4663,4751,4931
5079-5586,18,5081,5531,5581
5587-6145,19,5657,5749,6053
6146-6760,20,6199,6329,6421
6761-7437,21,6949,7019,7237
7438-8181,22,7951,8059,8087
8182-9000,23,8287,8369,8741
9001-9901,24,9067,9323,9413
9902-9999,25,9907,9931,9949
