Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000-110000,1,103183,104179,104383
110001-121001,2,111091,111959,112831
121002-133102,3,126751,128399,132637
133103-146413,4,134873,137593,137633
146414-161055,5,151049,154183,154727
161056-177161,6,166259,166871,176369
177162-194878,7,189019,189353,194071
194879-214366,8,198971,200273,206939
214367-235803,9,214883,216787,225749
235804-259384,10,253769,256579,256967
259385-285323,11,276557,279607,282913
285324-313856,12,286249,287387,307903
313857-345242,13,327839,337867,341587
345243-379767,14,345473,351257,361463
379768-417744,15,392647,409327,413089
417745-459519,16,438523,444803,446447
459520-505472,17,483907,490519,501817
505473-556020,18,538487,544651,547529
556021-611623,19,562651,572137,601807
611624-672786,20,619657,626611,644617
672787-740065,21,687443,717527,736187
740066-814072,22,751217,797729,802583
814073-895480,23,848747,858241,865177
895481-985029,24,938611,951911,959333
985030-999999,25,985493,987821,991973
