prime,A,x0,trials
32256101,8401075,8688550,722
32256101,11691844,9414155,1179
32256101,26184304,16702648,10171
32256101,23626832,23804761,1842
32256101,29652347,757600,5756
32256101,21356831,1301202,731
32256101,12765425,27311716,824
32256101,1619077,11821048,4069
32256101,30945278,8334632,4750
32256101,20900475,19303226,2921
32416259,59658,1479367,2233
32416259,13315717,27269989,114
32416259,17716470,18245877,957
32416259,12620047,24360610,767
32416259,25576949,7047853,371
32416259,16107518,6746990,349
32416259,18217534,16220539,3249
32416259,20553918,8968426,694
32416259,17749787,23881753,1609
32416259,8033172,30297039,1019
33385783,16225552,31528152,4017
33385783,18914586,33041144,1558
33385783,23540322,31869106,616
33385783,20618749,3162738,1
33385783,21098191,29048575,178
33385783,32307519,28754017,5355
33385783,15100861,13312348,1045
33385783,5032377,14311063,2711
33385783,12726866,15849000,769
33385783,882380,17803053,200
