Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
100000-110000,1,101111,105907,108023
110001-121001,2,111863,117659,119759
121002-133102,3,123707,126199,127739
133103-146413,4,139511,141499,145007
146414-161055,5,146917,150373,155501
161056-177161,6,169661,169667,176789
177162-194878,7,181297,188957,190283
194879-214366,8,203773,203873,212873
214367-235803,9,215689,231533,233911
235804-259384,10,241321,243431,250829
259385-285323,11,263723,263867,274301
285324-313856,12,304979,305033,308587
313857-345242,13,317399,325667,336911
345243-379767,14,354139,357781,371633
379768-417744,15,397259,411821,417511
417745-459519,16,418351,442609,459353
459520-505472,17,466181,467689,498653
505473-556020,18,521051,527843,528611
556021-611623,19,580639,586601,608347
611624-672786,20,631549,648961,668417
672787-740065,21,673411,696961,714377
740066-814072,22,744829,776899,799621
814073-895480,23,822989,838769,846529
895481-985029,24,900869,904919,974531
985030-999999,25,986767,991981,994667
