Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000000-11000000,1,10539007,10840807,10864829
11000001-12100001,2,11303449,11504137,11618207
12100002-13310002,3,12505501,13191391,13240537
13310003-14641003,4,13661603,14197489,14520749
14641004-16105104,5,14892287,15479887,16018241
16105105-17715615,6,17017279,17309393,17375047
17715616-19487177,7,18123979,18193753,18238691
19487178-21435895,8,19933937,20704819,21109313
21435896-23579485,9,21686741,22823417,22968103
23579486-25937434,10,23839997,24278339,25668193
25937435-28531178,11,26095691,26149693,26468047
28531179-31384296,12,28701499,29853737,30644617
31384297-34522726,13,31781587,33772447,33840581
34522727-37974999,14,35034089,37120189,37450519
37975000-41772500,15,38237971,38702413,40846969
41772501-45949751,16,43452853,44488733,45579487
45949752-50544727,17,46084279,46335673,50145079
50544728-55599200,18,51509257,53839013,55024213
55599201-61159121,19,56148073,57530927,60436951
61159122-67275034,20,66087403,66527771,66790631
67275035-74002538,21,70017041,70882547,71975429
74002539-81402792,22,74499787,78304283,78471479
81402793-89543072,23,84463231,85870597,89118781
89543073-98497380,24,89562541,91667839,96453109
98497381-99999999,25,98954081,99069739,99885403
