Interval_Range,Triplet_ID,Prime_1,Prime_2,Prime_3
10000000000-11000000000,1,10139536961,10723174829,10744872781
11000000001-12100000001,2,11280388169,11607923603,12094384717
12100000002-13310000002,3,12655159213,12729724543,12893332877
13310000003-14641000003,4,13757403949,13954994819,14103287381
14641000004-16105100004,5,15304920739,15503119661,15554238257
16105100005-17715610005,6,16193481173,16763216651,16842800683
17715610006-19487171006,7,17985603463,18994811981,19242197627
19487171007-21435888107,8,20642536069,21042437809,21078373139
21435888108-23579476918,9,21856092451,22202465429,23498013001
23579476919-25937424610,10,24006796169,24378235579,25395869099
25937424611-28531167072,11,25959033733,26363686747,27801025873
28531167073-31384283780,12,29978160977,30559336751,31004735449
31384283781-34522712159,13,31578132263,33071041403,33552266599
34522712160-37974983376,14,35352638693,36481242067,37255169123
37974983377-41772481714,15,40377516203,41308885609,41681815039
41772481715-45949729886,16,43172330899,44391370811,45578333917
45949729887-50544702875,17,46412741737,47719768541,49260422923
50544702876-55599173163,18,50816332823,53098350901,55556634839
55599173164-61159090480,19,56062980383,58808326337,60726538811
61159090481-67274999529,20,62836278419,64097503583,65628541457
67274999530-74002499483,21,67796729599,72065127053,72279942239
74002499484-81402749432,22,74697217853,78366197963,80481877607
81402749433-89543024376,23,82296520309,89175426283,89463568867
89543024377-98497326814,24,89917903303,91676435531,93675545261
98497326815-99999999999,25,99291185447,99694964123,99811648991
